1939.07	2.89	4.84	0.0461	
1939.08	2.93	4.85	0.0477	
1939.09	3.25	5	0.0439	
1939.1	3.15	4.88	0.0450	
1939.11	3	4.85	0.0474	
1939.12	2.94	4.92	0.0501	
1940.01	2.88	4.86	0.0507	
1940.02	2.86	4.83	0.0513	
1940.03	2.84	4.8	0.0519	
1940.04	2.82	4.74	0.0519	
1940.05	2.93	4.94	0.0608	
1940.06	2.96	5.11	0.0672	
1940.07	2.88	4.8	0.0657	
1940.08	2.85	4.76	0.0650	
1940.09	2.82	4.66	0.0630	
1940.1	2.79	4.56	0.0624	
1940.11	2.75	4.48	0.0610	
1940.12	2.71	4.45	0.0636	
1941.01	2.75	4.38	0.0638	
1941.02	2.78	4.42	0.0684	
1941.03	2.8	4.38	0.0683	
1941.04	2.82	4.33	0.0709	
1941.05	2.81	4.32	0.0728	
1941.06	2.77	4.31	0.0707	
1941.07	2.74	4.28	0.0676	
1941.08	2.74	4.27	0.0682	
1941.09	2.75	4.3	0.0684	
1941.1	2.73	4.28	0.0715	
1941.11	2.72	4.28	0.0754	
1941.12	2.8	4.38	0.0811	
1942.01	2.83	4.29	0.0788	
1942.02	2.85	4.29	0.0805	
1942.03	2.86	4.3	0.0844	
1942.04	2.83	4.26	0.0867	
1942.05	2.85	4.27	0.0845	
1942.06	2.85	4.33	0.0792	
1942.07	2.83	4.3	0.0748	
1942.08	2.81	4.28	0.0737	
1942.09	2.8	4.26	0.0714	
1942.1	2.8	4.24	0.0655	
1942.11	2.79	4.25	0.0634	
1942.12	2.81	4.28	0.0620	
1943.01	2.79	4.16	0.0585	
1943.02	2.77	4.08	0.0552	
1943.03	2.76	4.01	0.0533	
1943.04	2.76	3.96	0.0516	
1943.05	2.74	3.91	0.0496	
1943.06	2.72	3.88	0.0488	
1943.07	2.69	3.81	0.0480	
1943.08	2.69	3.81	0.0508	
1943.09	2.69	3.83	0.0500	
1943.1	2.7	3.82	0.0508	
1943.11	2.71	3.83	0.0535	
1943.12	2.74	3.82	0.0531	
1944.01	2.72	3.76	0.0518	
1944.02	2.74	3.72	0.0524	
1944.03	2.74	3.7	0.0512	
1944.04	2.74	3.68	0.0524	
1944.05	2.73	3.63	0.0518	
1944.06	2.73	3.59	0.0497	
1944.07	2.72	3.57	0.0487	
1944.08	2.71	3.55	0.0497	
1944.09	2.72	3.56	0.0508	
1944.1	2.72	3.55	0.0496	
1944.11	2.72	3.53	0.0499	
1944.12	2.7	3.49	0.0489	
1945.01	2.69	3.46	0.0477	
1945.02	2.65	3.41	0.0464	
1945.03	2.62	3.38	0.0467	
1945.04	2.61	3.36	0.0455	
1945.05	2.62	3.32	0.0439	
1945.06	2.61	3.29	0.0431	
1945.07	2.6	3.26	0.0442	
1945.08	2.61	3.26	0.0443	
1945.09	2.62	3.24	0.0417	
1945.1	2.62	3.2	0.0400	
1945.11	2.62	3.15	0.0387	
1945.12	2.61	3.1	0.0381	
1946.01	2.54	3.01	0.0370	
1946.02	2.48	2.95	0.0373	
1946.03	2.47	2.94	0.0388	
1946.04	2.46	2.96	0.0364	
1946.05	2.51	3.02	0.0364	
1946.06	2.49	3.03	0.0366	
1946.07	2.48	3.03	0.0379	
1946.08	2.51	3.03	0.0388	
1946.09	2.58	3.1	0.0457	
1946.1	2.6	3.15	0.0472	
1946.11	2.59	3.17	0.0479	
1946.12	2.61	3.17	0.0469	
1947.01	2.57	3.13	0.0469	
1947.02	2.55	3.12	0.0454	
1947.03	2.55	3.15	0.0475	
1947.04	2.53	3.16	0.0502	
1947.05	2.53	3.17	0.0521	
1947.06	2.55	3.21	0.0512	
1947.07	2.55	3.18	0.0488	
1947.08	2.56	3.17	0.0505	
1947.09	2.61	3.23	0.0525	
1947.1	2.7	3.35	0.0522	
1947.11	2.77	3.44	0.0539	
1947.12	2.86	3.52	0.0559	
1948.01	2.86	3.52	0.0569	
1948.02	2.85	3.53	0.0600	
1948.03	2.83	3.53	0.0594	
1948.04	2.78	3.47	0.0552	
1948.05	2.76	3.38	0.0526	
1948.06	2.76	3.34	0.0505	
1948.07	2.81	3.37	0.0522	
1948.08	2.84	3.44	0.0542	
1948.09	2.84	3.45	0.0552	
1948.1	2.84	3.5	0.0550	
1948.11	2.84	3.53	0.0595	
1948.12	2.79	3.53	0.0612	
1949.01	2.71	3.46	0.0616	
1949.02	2.71	3.45	0.0652	
1949.03	2.7	3.47	0.0657	
1949.04	2.7	3.45	0.0667	
1949.05	2.71	3.45	0.0681	
1949.06	2.71	3.47	0.0730	
1949.07	2.67	3.46	0.0696	
1949.08	2.62	3.4	0.0676	
1949.09	2.6	3.37	0.0671	
1949.1	2.61	3.36	0.0675	
1949.11	2.6	3.35	0.0687	
1949.12	2.58	3.31	0.0689	
1950.01	2.57	3.24	0.0681	
1950.02	2.58	3.24	0.0674	
1950.03	2.58	3.24	0.0674	
1950.04	2.6	3.23	0.0661	
1950.05	2.61	3.25	0.0645	
1950.06	2.62	3.28	0.0640	
1950.07	2.65	3.32	0.0715	
1950.08	2.61	3.23	0.0698	
1950.09	2.64	3.21	0.0697	
1950.1	2.67	3.22	0.0693	
1950.11	2.67	3.22	0.0718	
1950.12	2.67	3.2	0.0744	
1951.01	2.66	3.17	0.0701	
1951.02	2.66	3.16	0.0683	
1951.03	2.78	3.23	0.0703	
1951.04	2.87	3.35	0.0700	
1951.05	2.89	3.4	0.0705	
1951.06	2.94	3.49	0.0724	
1951.07	2.94	3.53	0.0705	
1951.08	2.88	3.5	0.0670	
1951.09	2.84	3.46	0.0647	
1951.1	2.89	3.5	0.0635	
1951.11	2.96	3.56	0.0637	
1951.12	3.01	3.61	0.0602	
1952.01	2.98	3.59	0.0584	
1952.02	2.93	3.53	0.0596	
1952.03	2.96	3.51	0.0596	
1952.04	2.93	3.5	0.0602	
1952.05	2.93	3.49	0.0607	
1952.06	2.94	3.5	0.0595	
1952.07	2.95	3.5	0.0578	
1952.08	2.94	3.51	0.0576	
1952.09	2.95	3.52	0.0585	
1952.1	3.01	3.54	0.0592	
1952.11	2.98	3.53	0.0569	
1952.12	2.97	3.51	0.0541	
1953.01	3.02	3.51	0.0539	
1953.02	3.07	3.53	0.0545	
1953.03	3.12	3.57	0.0543	
1953.04	3.23	3.65	0.0572	
1953.05	3.34	3.78	0.0570	
1953.06	3.4	3.86	0.0593	
1953.07	3.28	3.86	0.0585	
1953.08	3.24	3.85	0.0582	
1953.09	3.29	3.88	0.0610	
1953.1	3.16	3.82	0.0597	
1953.11	3.11	3.75	0.0588	
1953.12	3.13	3.74	0.0584	
1954.01	3.06	3.71	0.0572	
1954.02	2.95	3.61	0.0562	
1954.03	2.86	3.51	0.0553	
1954.04	2.85	3.47	0.0530	
1954.05	2.88	3.47	0.0507	
1954.06	2.9	3.49	0.0501	
1954.07	2.89	3.5	0.0483	
1954.08	2.87	3.49	0.0476	
1954.09	2.89	3.47	0.0467	
1954.1	2.87	3.46	0.0464	
1954.11	2.89	3.45	0.0454	
1954.12	2.9	3.45	0.0440	
1955.01	2.93	3.45	0.0434	
1955.02	2.93	3.47	0.0422	
1955.03	3.02	3.48	0.0427	
1955.04	3.01	3.49	0.0414	
1955.05	3.04	3.5	0.0417	
1955.06	3.05	3.51	0.0395	
1955.07	3.06	3.52	0.0372	
1955.08	3.11	3.56	0.0378	
1955.09	3.13	3.59	0.0365	
1955.1	3.1	3.59	0.0386	
1955.11	3.1	3.58	0.0363	
1955.12	3.15	3.62	0.0361	
1956.01	3.11	3.6	0.0378	
1956.02	3.08	3.58	0.0383	
1956.03	3.1	3.6	0.0364	
1956.04	3.24	3.68	0.0365	
1956.05	3.28	3.73	0.0382	
1956.06	3.26	3.76	0.0389	
1956.07	3.28	3.8	0.0372	
1956.08	3.43	3.93	0.0377	
1956.09	3.56	4.07	0.0393	
1956.1	3.59	4.17	0.0391	
1956.11	3.69	4.24	0.0388	
1956.12	3.75	4.37	0.0375	
1957.01	3.77	4.49	0.0382	
1957.02	3.67	4.47	0.0399	
1957.03	3.66	4.43	0.0393	
1957.04	3.67	4.44	0.0384	
1957.05	3.74	4.52	0.0370	
1957.06	3.91	4.63	0.0364	
1957.07	3.99	4.73	0.0359	
1957.08	4.1	4.82	0.0382	
1957.09	4.12	4.93	0.0400	
1957.1	4.1	4.99	0.0429	
1957.11	4.08	5.09	0.0441	
1957.12	3.81	5.03	0.0444	
1958.01	3.6	4.83	0.0434	
1958.02	3.59	4.66	0.0431	
1958.03	3.63	4.68	0.0420	
1958.04	3.6	4.67	0.0415	
